site_no,name,basin,state,lat,long,drainage_area_sqmi,elevation_ft,huc
10039500,"BEAR RIVER AT BORDER, WY",Bear River Basin,ID,42.21104338,-111.0538022,2480.0,6056.85,16010102
10068500,BEAR RIVER AT PESCADERO ID,Bear River Basin,ID,42.4015929,-111.356875,3705.0,5909.85,16010201
10092700,BEAR RIVER AT IDAHO-UTAH STATE LINE,Bear River Basin,ID,42.0129808,-111.92134,4884.0,4424.2,16010202
10125500,MALAD RIVER AT WOODRUFF ID,Bear River Basin,ID,42.0297222,-112.2295833,472.0,4366.79,16010204
10396000,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,Malheur River Basin - eastern OR,ID,42.7908333,-118.8675,200.0,4260.33,17120003
11491450,"IRVING CREEK NEAR LENZ, OR",KLAMATH RIVER BASIN,OR,42.95166667,-121.4590556,0.9,4617.0,18010201
11491470,"JACKSON CREEK NEAR LENZ, OR",KLAMATH RIVER BASIN,OR,42.9783611,-121.459361,11.3,4680.0,18010201
11491950,"MILLER CREEK NEAR BEAVER MARSH, OR",KLAMATH RIVER BASIN,OR,43.1833333,-121.8735556,21.6,,18010201
11492550,"SAND CREEK BLW SAND CREEK CANAL NR CHINCHALO, OR",KLAMATH RIVER BASIN,OR,42.8704083,-121.8484722,,4578.0,18010201
11493100,"SCOTT CREEK BLW SAND CREEK CANAL NR CHINCHALO, OR",KLAMATH RIVER BASIN,OR,42.88709167,-121.8727556,,4587.0,18010201
11493500,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",KLAMATH RIVER BASIN,OR,42.739925,-121.8345167,1290.0,4487.42,18010201
11501000,"SPRAGUE RIVER NEAR CHILOQUIN, OR",KLAMATH RIVER BASIN,OR,42.58430556,-121.8483333,1565.0,4202.43,18010202
11502500,"WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",KLAMATH RIVER BASIN,OR,42.564375,-121.8797139,3030.0,4148.5,18010201
11503000,"ANNIE SPRING NEAR CRATER LAKE, OR",KLAMATH RIVER BASIN,OR,42.8715179,-122.168917,,5982.65,18010203
11504115,"WOOD RIVER NEAR KLAMATH AGENCY, OR",KLAMATH RIVER BASIN,OR,42.58155556,-121.9417028,78.8,4147.0,18010203
11504260,"FOURMILE CANAL NEAR KLAMATH AGENCY, OR",KLAMATH RIVER BASIN,OR,42.5745,-122.051361,,4099.86,18010203
11504270,"CRYSTAL CREEK NEAR ROCKY POINT, OR",KLAMATH RIVER BASIN,OR,42.51269444,-122.0761389,,4122.41,18010203
11504290,"SEVENMILE CNL AT DIKE RD BR, NR KLAMATH AGENCY, OR",KLAMATH RIVER BASIN,OR,42.58166667,-121.9713889,,4146.0,18010203
11507500,"LINK RIVER AT KLAMATH FALLS, OR",KLAMATH RIVER BASIN,OR,42.22347795,-121.7941708,3810.0,4083.71,18010204
11508700,"KLAMATH RIVER AT MILLER ISLAND, NEAR MIDLAND, OR",KLAMATH RIVER BASIN,OR,42.1467833,-121.848686,,4061.54,18010204
11509105,"NORTH CANAL AT HIGHWAY 97, NEAR MIDLAND, OR",KLAMATH RIVER BASIN,OR,42.12138889,-121.8267528,,4080.27,18010204
11509200,"ADY CANAL AT HIGHWAY 97, NEAR WORDEN, OR",KLAMATH RIVER BASIN,OR,42.08088889,-121.8446389,,4090.0,18010204
11509250,"ADY CANAL ABOVE LOWER KLAMATH NWR, NEAR WORDEN, OR",KLAMATH RIVER BASIN,OR,42.00416667,-121.8258333,,4075.28,18010204
11509340,"KLAMATH STRAITS DRAIN NEAR WORDEN, OR",KLAMATH RIVER BASIN,OR,42.08095278,-121.8483222,,4081.72,18010204
