station_triplet,station_id,name,state,network,lat,long,elevation_ft,huc,begin_date,end_date
1000:OR:SNTL,1000,Annie Springs,OR,SNTL,42.87007,-122.16518,6020.0,180102030101,2000-09-01,2100-01-01
1008:MT:SNTL,1008,Onion Park,MT,SNTL,46.91348,-110.8536,7420.0,100301030801,1992-10-01,2100-01-01
1009:MT:SNTL,1009,Stringer Creek,MT,SNTL,46.9269,-110.90198,6550.0,100301030801,1992-10-01,2100-01-01
1010:OR:SNTL,1010,Crazyman Flat,OR,SNTL,42.6381,-120.94917,6190.0,180102020101,2001-09-01,2100-01-01
1011:WA:SNTL,1011,MF Nooksack,WA,SNTL,48.82441,-121.92947,4940.0,171100040303,2002-10-01,2100-01-01
1012:WA:SNTL,1012,Swift Creek,WA,SNTL,46.1638,-122.18402,4440.0,170800020304,2001-10-01,2100-01-01
1015:WY:SNTL,1015,Sage Creek Basin,WY,SNTL,41.40107,-107.2574,7830.0,101800020802,2001-10-01,2100-01-01
1016:ID:SNTL,1016,Long Valley,ID,SNTL,44.78835,-116.08878,4890.0,170501230206,2001-10-01,2100-01-01
1043:WA:SNTL,1043,Sentinel Butte,WA,SNTL,48.86133,-118.39843,4680.0,170200021705,2003-08-27,2100-01-01
1044:OR:SNTL,1044,Toketee Airstrip,OR,SNTL,43.22718,-122.42537,3240.0,171003010404,2003-10-01,2100-01-01
1045:WY:SNTL,1045,Crow Creek,WY,SNTL,41.22824,-105.38571,8320.0,101900090104,2003-08-01,2100-01-01
1046:WY:SNTL,1046,Cinnabar Park,WY,SNTL,41.23843,-106.23101,9670.0,101800100503,1999-06-13,2100-01-01
1047:WY:SNTL,1047,Little Snake River,WY,SNTL,41.07051,-106.94284,8930.0,140500030103,2004-07-27,2100-01-01
1053:ID:SNTL,1053,Myrtle Creek,ID,SNTL,48.72263,-116.46312,3540.0,170101040701,2003-10-01,2100-01-01
1068:WA:SNTL,1068,Sawmill Ridge,WA,SNTL,47.15992,-121.42172,4640.0,171100130104,2006-07-27,2100-01-01
1069:WA:SNTL,1069,Lynn Lake,WA,SNTL,47.20172,-121.77972,3900.0,171100130203,2007-08-30,2100-01-01
1077:OR:SNTL,1077,Swan Lake Mtn,OR,SNTL,42.41323,-121.68002,6830.0,180102040802,2006-10-01,2100-01-01
1078:OR:SNTL,1078,Sun Pass,OR,SNTL,42.78637,-121.97715,5400.0,180102010602,2006-06-27,2100-01-01
1079:OR:SNTL,1079,Milk Shakes,OR,SNTL,45.9821,-117.94883,5580.0,170701020201,2007-05-12,2100-01-01
1080:WA:SNTL,1080,Brown Top,WA,SNTL,48.92753,-121.19717,5850.0,171100050601,2009-09-15,2100-01-01
1081:ID:SNTL,1081,Ragged Mountain,ID,SNTL,47.85583,-117.03667,4210.0,170103050302,2006-08-22,2100-01-01
1082:WY:SNTL,1082,Grand Targhee,WY,SNTL,43.77933,-110.92783,9260.0,170402040202,2006-08-21,2100-01-01
1084:OR:SNTL,1084,Miller Woods,OR,SNTL,45.24755,-123.27563,420.0,170900080606,2006-09-22,2100-01-01
1085:WA:SNTL,1085,Cayuse Pass,WA,SNTL,46.86956,-121.53434,5260.0,171100140301,2006-10-01,2100-01-01
1104:WA:SNTL,1104,Pepper Creek,WA,SNTL,46.10242,-121.95555,2140.0,170800020111,2007-08-15,2100-01-01
1105:MT:SNTL,1105,East Boulder Mine,MT,SNTL,45.50381,-110.08019,6310.0,100700020701,2008-06-19,2100-01-01
1107:WA:SNTL,1107,Buckinghorse,WA,SNTL,47.7086,-123.45747,4850.0,171100200501,2008-06-19,2100-01-01
1109:WA:SNTL,1109,Calamity,WA,SNTL,45.90362,-122.21633,2510.0,170800020603,2008-08-21,2100-01-01
1119:WY:SNTL,1119,Blackhall Mtn,WY,SNTL,41.05623,-106.714,9830.0,101800020504,2009-08-07,2100-01-01
1126:WA:SNTL,1126,Mt. Tebo,WA,SNTL,47.46061,-123.41219,3380.0,171100170101,2020-07-08,2100-01-01
1129:WA:SNTL,1129,Indian Rock,WA,SNTL,45.99077,-120.80768,5320.0,170701060301,2008-10-01,2100-01-01
1130:WY:SNTL,1130,Castle Creek,WY,SNTL,43.6748,-109.3774,8410.0,100800010401,2010-08-18,2100-01-01
1131:WY:SNTL,1131,Little Goose,WY,SNTL,44.54315,-107.17865,8560.0,100901010105,2010-08-04,2100-01-01
1132:WY:SNTL,1132,Soldier Park,WY,SNTL,44.34847,-107.0136,8680.0,100902060103,2010-08-06,2100-01-01
1133:WY:SNTL,1133,Pocket Creek,WY,SNTL,42.7121,-109.4112,9370.0,140401020505,2009-09-10,2100-01-01
1134:WY:SNTL,1134,Larsen Creek,WY,SNTL,42.58019,-109.08829,8880.0,101800060101,2010-08-04,2100-01-01
1142:ID:SNTL,1142,Pierce R.S.,ID,SNTL,46.49597,-115.7957,3080.0,170603060401,2009-09-29,2100-01-01
1144:MT:SNTL,1144,Blacktail Mtn,MT,SNTL,47.98317,-114.35443,5660.0,170102080302,2010-08-25,2100-01-01
1158:OR:SNTL,1158,Howard Prairie,OR,SNTL,42.215,-122.3713,4580.0,180102060401,2012-09-26,2100-01-01
1159:WA:SNTL,1159,Gold Axe Camp,WA,SNTL,48.9516,-118.9864,5380.0,170200021204,2010-10-01,2100-01-01
